Symbol,Date,Close
AAPL,4/17/2019,50.78
AAPL,4/18/2019,50.97
AAPL,4/22/2019,51.13
AAPL,4/23/2019,51.87
AAPL,4/24/2019,51.79
AAPL,4/25/2019,51.32
AAPL,4/26/2019,51.08
AAPL,4/29/2019,51.15
AAPL,4/30/2019,50.17
AAPL,5/1/2019,52.63
AAPL,5/2/2019,52.29
AAPL,5/3/2019,52.94
AAPL,5/6/2019,52.12
AAPL,5/7/2019,50.72
AAPL,5/8/2019,50.73
AAPL,5/9/2019,50.18
AAPL,5/10/2019,49.3
AAPL,5/13/2019,46.43
AAPL,5/14/2019,47.17
AAPL,5/15/2019,47.73
AAPL,5/16/2019,47.52
AAPL,5/17/2019,47.25
AAPL,5/20/2019,45.77
AAPL,5/21/2019,46.65
AAPL,5/22/2019,45.7
AAPL,5/23/2019,44.92
AAPL,5/24/2019,44.74
AAPL,5/28/2019,44.56
AAPL,5/29/2019,44.35
AAPL,5/30/2019,44.58
AAPL,5/31/2019,43.77
AAPL,6/3/2019,43.33
AAPL,6/4/2019,44.91
AAPL,6/5/2019,45.64
AAPL,6/6/2019,46.31
AAPL,6/7/2019,47.54
AAPL,6/10/2019,48.15
AAPL,6/11/2019,48.7
AAPL,6/12/2019,48.55
AAPL,6/13/2019,48.54
AAPL,6/14/2019,48.19
AAPL,6/17/2019,48.47
AAPL,6/18/2019,49.61
AAPL,6/19/2019,49.47
AAPL,6/20/2019,49.87
AAPL,6/21/2019,49.7
AAPL,6/24/2019,49.65
AAPL,6/25/2019,48.89
AAPL,6/26/2019,49.95
AAPL,6/27/2019,49.94
AAPL,6/28/2019,49.48
AAPL,7/1/2019,50.39
AAPL,7/2/2019,50.68
AAPL,7/3/2019,51.1
AAPL,7/5/2019,51.06
AAPL,7/8/2019,50.01
AAPL,7/9/2019,50.31
AAPL,7/10/2019,50.81
AAPL,7/11/2019,50.44
AAPL,7/12/2019,50.83
AAPL,7/15/2019,51.3
AAPL,7/16/2019,51.13
AAPL,7/17/2019,50.84
AAPL,7/18/2019,51.42
AAPL,7/19/2019,50.65
AAPL,7/22/2019,51.81
AAPL,7/23/2019,52.21
AAPL,7/24/2019,52.17
AAPL,7/25/2019,51.76
AAPL,7/26/2019,51.94
AAPL,7/29/2019,52.42
AAPL,7/30/2019,52.2
AAPL,7/31/2019,53.26
AAPL,8/1/2019,52.11
AAPL,8/2/2019,51.01
AAPL,8/5/2019,48.34
AAPL,8/6/2019,49.25
AAPL,8/7/2019,49.76
AAPL,8/8/2019,50.86
AAPL,8/9/2019,50.25
AAPL,8/12/2019,50.12
AAPL,8/13/2019,52.24
AAPL,8/14/2019,50.69
AAPL,8/15/2019,50.44
AAPL,8/16/2019,51.63
AAPL,8/19/2019,52.59
AAPL,8/20/2019,52.59
AAPL,8/21/2019,53.16
AAPL,8/22/2019,53.12
AAPL,8/23/2019,50.66
AAPL,8/26/2019,51.62
AAPL,8/27/2019,51.04
AAPL,8/28/2019,51.38
AAPL,8/29/2019,52.25
AAPL,8/30/2019,52.19
AAPL,9/3/2019,51.43
AAPL,9/4/2019,52.3
AAPL,9/5/2019,53.32
AAPL,9/6/2019,53.32
AAPL,9/9/2019,53.54
AAPL,9/10/2019,54.18
AAPL,9/11/2019,55.9
AAPL,9/12/2019,55.77
AAPL,9/13/2019,54.69
AAPL,9/16/2019,54.98
AAPL,9/17/2019,55.18
AAPL,9/18/2019,55.69
AAPL,9/19/2019,55.24
AAPL,9/20/2019,54.43
AAPL,9/23/2019,54.68
AAPL,9/24/2019,54.42
AAPL,9/25/2019,55.26
AAPL,9/26/2019,54.97
AAPL,9/27/2019,54.71
AAPL,9/30/2019,55.99
AAPL,10/1/2019,56.15
AAPL,10/2/2019,54.74
AAPL,10/3/2019,55.21
AAPL,10/4/2019,56.75
AAPL,10/7/2019,56.77
AAPL,10/8/2019,56.1
AAPL,10/9/2019,56.76
AAPL,10/10/2019,57.52
AAPL,10/11/2019,59.05
AAPL,10/14/2019,58.97
AAPL,10/15/2019,58.83
AAPL,10/16/2019,58.59
AAPL,10/17/2019,58.82
AAPL,10/18/2019,59.1
AAPL,10/21/2019,60.13
AAPL,10/22/2019,59.99
AAPL,10/23/2019,60.8
AAPL,10/24/2019,60.9
AAPL,10/25/2019,61.65
AAPL,10/28/2019,62.26
AAPL,10/29/2019,60.82
